ImageNumber,ObjectNumber,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_Label_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,0.0,0.0,1,0.0,0.0
1,2,0.0,0.0,2,0.0,0.0
1,3,0.0,0.0,3,0.0,0.0
1,4,0.0,0.0,4,0.0,0.0
1,5,0.0,0.0,5,0.0,0.0
1,6,0.0,0.0,6,0.0,0.0
2,1,14.288679940416218,14.288679940416218,1,-14.282221699731821,-0.42955530419531485
2,2,20.351908917067959,20.351908917067959,2,-20.334577059950725,0.83974541472762354
2,3,7.1779741605931324,7.1779741605931324,3,-7.1082242216408531,-0.99822916458144562
2,4,11.553657575131624,11.553657575131624,4,-11.529995370635163,-0.73906029289095443
2,5,18.22519172613578,18.22519172613578,5,-18.225180362182698,-0.02035240325638199
2,6,10.117812316098785,10.117812316098785,6,-10.04756613756615,-1.1901851851851859
3,1,20.99065466449407,6.706873991554354,1,-6.6873089389493998,-0.51191590484735272
3,2,10.525857094807309,3.3717913544217715,3,-3.3717509709741762,0.016502347957320751
3,3,17.315595833859479,5.7705626733021917,4,-5.7705377196128893,0.016970357492368748
3,4,26.114014183573921,7.88886987178536,5,-7.8887604538076772,-0.041549445277468067
3,5,14.961067356028874,4.8433793988997591,6,-4.8046053907310693,-0.61162982354079531
4,1,20.99065466449407,0.0,1,0.0,0.0
4,2,10.525857094807309,0.0,3,0.0,0.0
4,3,17.315595833859479,0.0,4,0.0,0.0
4,4,26.114014183573921,0.0,5,0.0,0.0
4,5,14.961067356028874,0.0,6,0.0,0.0
5,1,33.629090129690908,12.716557926962734,1,-12.498709734540029,-2.3437364360168722
5,2,16.600291823579717,6.1804270967045936,3,-6.1198913875931567,0.86290700642855001
5,3,28.439452498877571,11.139390114044838,4,-11.072777066386379,-1.2163963790589492
5,4,40.590318517919073,14.484730687141369,5,-14.470131282442225,-0.65017209098959938
5,5,25.009821028523223,10.120360749233441,6,-9.7406574892568756,-2.7461415425299549
6,1,38.84949354927577,5.2443868732289367,1,-5.139119236024726,-1.0454889545167951
6,2,19.004272484936202,2.4657605838312695,3,-2.3906574974840851,-0.60393044839538845
6,3,32.925297407494114,4.5311257071780116,4,-4.4213896589206172,-0.99116782546613535
6,4,44.853886823029633,4.2848792905967681,5,-4.2527974254643794,-0.52335895229623475
6,5,28.695674316405302,3.7272537406454833,6,-3.5104610257359354,-1.2526307652076696
6,6,0.0,0.0,7,0.0,0.0
7,1,38.84949354927577,0.0,1,0.0,0.0
7,2,19.004272484936202,0.0,3,0.0,0.0
7,3,32.925297407494114,0.0,4,0.0,0.0
7,4,44.853886823029633,0.0,5,0.0,0.0
7,5,28.695674316405302,0.0,6,0.0,0.0
7,6,0.0,0.0,7,0.0,0.0
