ImageNumber,ObjectNumber,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_Label_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
12,4,43.352998785392032,2.5080424936245644,6,-2.2432507856388497,-1.1216519346736789
12,5,12.46234004039559,1.6997829476616526,7,-1.0994994096671462,-1.2962882076540438
13,1,32.530950757638827,0.0,3,0.0,0.0
13,2,47.565457666307879,0.0,4,0.0,0.0
13,3,55.505365819823545,0.0,5,0.0,0.0
13,4,43.352998785392032,0.0,6,0.0,0.0
13,5,12.46234004039559,0.0,7,0.0,0.0
14,1,34.036502675066764,1.551196871155728,3,-1.5342863168950203,0.22842335885813725
14,2,48.758999608843425,1.2610571550351679,4,-1.2337324793465143,0.26109254618026512
14,3,56.583434328303859,1.3049268490065966,5,-1.1076508434115198,0.68988672283791175
14,4,47.313353050926786,4.2541313304600621,6,-3.3081280058350444,-2.6746817518747434
14,5,14.806046045388012,2.9423075035999311,7,-0.90189790935514225,-2.800670206725755
15,1,35.066570167757803,1.0326877625109512,3,-1.0325291835181361,-0.018096961713112591
15,2,49.092208503393074,0.55489907539802263,4,-0.38047559630686578,0.40391992336664373
15,3,57.774321316210013,1.1977654153280681,5,-1.1945431835028941,0.087798478932100465
15,4,48.887626351972344,1.721050992962996,6,-1.2637680585268072,-1.1682922642157223
15,5,15.664459820028181,1.4802617064645676,7,0.13935074579762841,-1.4736879212611598
16,1,35.066570167757803,0.0,3,0.0,0.0
16,2,49.092208503393074,0.0,4,0.0,0.0
16,3,57.774321316210013,0.0,5,0.0,0.0
16,4,48.887626351972344,0.0,6,0.0,0.0
16,5,15.664459820028181,0.0,7,0.0,0.0
17,1,36.89372391999941,1.9090349378791258,3,-1.8654844282960994,0.40544079941211209
17,2,48.452458766652413,1.4832836585539484,4,0.51241894937234633,1.3919616489175723
17,3,56.395815291377666,1.4725122572034541,5,1.3968278098712901,-0.46600903122642023
17,4,52.99721953488767,4.2033717460932829,6,-3.5661869876155379,-2.2250043607186285
17,5,18.629392061566854,3.6465958489011809,7,-0.48210329329469914,-3.6145867951700552
18,1,37.036187643793525,0.20143635007987531,3,-0.13150370595354843,-0.15258891982704625
18,2,47.543861446509659,1.0617790272575762,4,0.95202447073975804,-0.47013201320132225
18,3,55.745905769560324,0.95550093211662368,5,0.62458198281627375,0.72310398838412482
18,4,54.712755996661059,1.7259766251893238,6,-1.6753228815848047,-0.41507656298364282
18,5,19.294227009754962,1.6516091740269061,7,0.79506535947712109,-1.4476477257569798
19,1,37.036187643793525,0.0,3,0.0,0.0
19,2,47.543861446509659,0.0,4,0.0,0.0
19,3,55.745905769560324,0.0,5,0.0,0.0
19,4,54.712755996661059,0.0,6,0.0,0.0
19,5,19.294227009754962,0.0,7,0.0,0.0
20,1,36.491705235432761,0.65492031583766608,3,0.57218550177753968,-0.31862889331084432
20,2,45.197373590282943,2.7029331290479623,4,2.4743661135241268,-1.0878234398782354
20,3,53.370036093254498,2.4723128146202495,5,2.3594296087798199,0.73852730115318366
20,4,57.931464290435684,3.2192871844722477,6,-3.043853321924928,-1.0482208406217808
20,5,20.813878578219981,3.3887470183579862,7,1.8233048875096927,-2.8564253257547989
21,1,35.983040881633009,0.52821796101731,3,0.51921538489193608,-0.097106119440553584
21,2,43.336069512338845,1.9074281723978166,4,1.8986697244575623,-0.18258014756571583
21,3,51.851915386889353,1.5913962042115972,5,1.5279357506791129,-0.44492046544942809
21,4,59.200469484249652,1.2732836006094757,6,-1.2281039781670984,-0.33617219752855476
21,5,21.263227256057142,2.011680422560977,7,1.6113377009026522,-1.2043458540489382
