ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
4	0	422.500000	562.000000	0.721132	116.565048		20.676122	48	1.000000	35.157760	3.701988
4	1	422.000000	563.000000	0.322500	89.999997	-26.565050	47.299500	48	0.977198	35.157760	3.701988
4	2	422.000000	563.500000	1.736716	68.198589	-21.801409	69.155250	48	0.935163	35.157760	3.701988
4	3	423.000000	566.000000	3.459563	-147.692661	144.108750	-74.580452	48	0.433059	35.157760	3.701988
4	4	418.466667	563.133333	1.200949	69.293886	-143.013453	67.663674	48	0.384315	35.157760	3.701988
4	5	419.125000	564.875000	0.798147	-44.999999	-114.293884	-177.785730	48	0.250638	35.157760	3.701988
4	6	420.000000	564.000000	0.350834	44.999999	89.999997	92.207169	48	0.239358	35.157760	3.701988
4	7	420.384615	564.384615	0.821114	-124.330214	-169.330212	-98.381867	48	0.214616	35.157760	3.701988
4	8	419.666667	563.333333	0.688336	38.659807	162.990021	98.441086	48	0.180640	35.157760	3.701988
4	9	420.500000	564.000000	0.000000	0.000000	-38.659807	137.257588	48	0.180640	35.157760	3.701988
4	10	420.500000	564.000000	0.243026	-155.224855	-155.224855	-67.517557	48	0.185831	35.157760	3.701988
4	11	420.157895	563.842105	0.858976	119.604447	-85.170697	17.601443	48	0.244302	35.157760	3.701988
4	12	419.500000	565.000000	0.322500	-89.999997	150.395555	-132.734115	48	0.218574	35.157760	3.701988
4	13	419.500000	564.500000	0.138214	89.999997	179.999995	47.211224	48	0.223756	35.157760	3.701988
4	14	419.500000	564.714286	0.207065	-20.854457	-110.854455	158.089095	48	0.203695	35.157760	3.701988
4	15	419.800000	564.600000	0.407934	-71.565049	-50.710592	-151.182488	48	0.168201	35.157760	3.701988
4	16	420.000000	564.000000	0.730090	96.340189	167.905238	40.866978	48	0.202380	35.157760	3.701988
4	17	419.875000	565.125000	0.547310	-81.528853	-177.869042	-141.153694	48	0.161193	35.157760	3.701988
4	18	420.000000	564.285714	0.829286	-89.999997	-8.471144	-132.761668	48	0.120742	35.157760	3.701988
4	19	420.000000	563.000000	0.798147	134.999996	-135.000006	2.098334	48	0.164029	35.157760	3.701988
4	20	419.125000	563.875000	0.509917	18.434948	-116.565048	118.670123	48	0.138822	35.157760	3.701988
4	21	419.875000	564.125000	0.342063	-98.130100	-116.565048	-124.661721	48	0.126253	35.157760	3.701988
4	22	419.800000	563.600000	0.354007	148.240516	-113.629385	-11.097127	48	0.145124	35.157760	3.701988
4	23	419.333333	563.888889	0.375409	88.069410	-60.171106	49.058267	48	0.153946	35.157760	3.701988
4	24	419.352941	564.470588	0.417784	2.602562	-85.466848	134.590572	48	0.132729	35.157760	3.701988
4	25	420.000000	564.500000	0.254959	71.565049	68.962487	65.696681	48	0.137949	35.157760	3.701988
4	26	420.125000	564.875000	0.114021	134.999996	63.434947	2.315330	48	0.143522	35.157760	3.701988
4	27	420.000000	565.000000	0.304056	134.999996	-0.000000	2.316393	48	0.158045	35.157760	3.701988
4	28	419.666667	565.333333	0.304056	-44.999999	-179.999995	-177.680773	48	0.138715	35.157760	3.701988
4	29	420.000000	565.000000	0.354587	-14.036243	30.963756	151.352632	48	0.121122	35.157760	3.701988
4	30	420.533333	564.866667	0.584863	143.972623	158.008866	-6.617055	48	0.146635	35.157760	3.701988
4	31	419.800000	565.400000	0.611901	-108.434946	107.592432	-114.225055	48	0.127797	35.157760	3.701988
4	32	419.500000	564.500000	0.456084	-134.999996	-26.565050	-87.788783	48	0.128937	35.157760	3.701988
4	33	419.000000	564.000000	0.493235	22.619864	157.619861	114.486174	48	0.112874	35.157760	3.701988
4	34	419.705882	564.294118	0.156354	170.690055	148.070191	-33.480505	48	0.118586	35.157760	3.701988
4	35	419.466667	564.333333	0.142500	111.801406	-58.888649	25.388243	48	0.123679	35.157760	3.701988
4	36	419.384615	564.538462	0.226455	-91.569352	156.629241	-131.226894	48	0.116143	35.157760	3.701988
4	37	419.375000	564.187500	0.290698	-56.309931	35.259421	-166.525609	48	0.102079	35.157760	3.701988
4	38	419.625000	563.812500	0.235122	-131.257008	-74.947077	-91.594141	48	0.103229	35.157760	3.701988
4	39	419.384615	563.538462	0.798000	73.921149	-154.821843	63.173542	48	0.111452	35.157760	3.701988
4	40	419.727273	564.727273	0.479068	98.664133	24.742983	38.594894	48	0.126433	35.157760	3.701988
4	41	419.615385	565.461538	0.404213	-121.739137	139.596730	-100.932767	48	0.119904	35.157760	3.701988
4	42	419.285714	564.928571	1.428957	1.847610	123.586748	135.388788	48	0.082178	35.157760	3.701988
4	43	421.500000	565.000000	1.824335	-134.999996	-136.847606	-87.532688	48	0.076551	35.157760	3.701988
4	44	419.500000	563.000000	4.194778	-88.111810	46.888187	-134.840391	48	0.128945	35.157760	3.701988
4	45	419.714286	556.500000	1.839283	-53.761592	34.350218	-169.867148	48	0.155478	35.157760	3.701988
4	46	421.400000	554.200000	2.479217	38.413316	92.174908	97.884869	48	0.105296	35.157760	3.701988
4	47	424.411765	556.588235					48		35.157760	3.701988
5	0	458.000000	525.500000	0.854765	112.166343		24.723299	28	1.000000	77.817925	8.047861
5	1	457.500000	526.727273	0.593648	122.905240	10.738897	14.056828	28	0.995755	77.817925	8.047861
5	2	457.000000	527.500000	0.456084	-134.999996	102.094764	-88.008665	28	0.718432	77.817925	8.047861
5	3	456.500000	527.000000	0.193500	179.999995	-45.000009	-43.101193	28	0.720346	77.817925	8.047861
5	4	456.200000	527.000000	0.912168	134.999996	-44.999999	1.871950	28	0.804313	77.817925	8.047861
5	5	455.200000	528.000000	1.022786	-71.075354	153.924650	-152.046628	28	0.399015	77.817925	8.047861
5	6	455.714286	526.500000	0.600698	32.471191	103.546545	104.309442	28	0.295286	77.817925	8.047861
5	7	456.500000	527.000000	1.897687	-77.735224	-110.206415	-145.365974	28	0.160950	77.817925	8.047861
5	8	457.125000	524.125000	1.911340	-62.354023	15.381201	-160.964927	28	0.307969	77.817925	8.047861
5	9	458.500000	521.500000	0.645000	89.999997	152.354020	46.555990	28	0.215863	77.817925	8.047861
5	10	458.500000	522.500000	0.974196	-114.443952	155.556051	-108.905964	28	0.280567	77.817925	8.047861
5	11	457.875000	521.125000	0.892913	96.666657	-148.889391	39.798445	28	0.177434	77.817925	8.047861
5	12	457.714286	522.500000	0.574132	-96.379245	166.954097	-127.040662	28	0.218392	77.817925	8.047861
5	13	457.615385	521.615385	0.357889	152.102725	-111.518030	-15.614722	28	0.202348	77.817925	8.047861
5	14	457.125000	521.875000	0.388546	-101.976130	105.921146	-121.555249	28	0.227586	77.817925	8.047861
5	15	457.000000	521.285714	2.763614	-158.996773	-57.020643	-64.601172	28	0.326806	77.817925	8.047861
5	16	453.000000	519.750000	5.597489	-168.366361	-9.369588	-55.735581	28	0.482691	77.817925	8.047861
5	17	444.500000	518.000000	16.754736	-163.448638	4.917723	-61.597607	28	0.710520	77.817925	8.047861
5	18	419.600000	510.600000	11.675804	-22.201086	141.247553	154.061651	28	0.403224	77.817925	8.047861
5	19	436.360000	503.760000	7.536162	40.835326	63.036412	92.056809	28	0.217002	77.817925	8.047861
5	20	445.200000	511.400000	6.982702	25.144785	-15.690541	109.266709	28	0.101057	77.817925	8.047861
5	21	455.000000	516.000000	5.226825	80.828269	55.683484	54.901925	28	0.021309	77.817925	8.047861
5	22	456.291667	524.000000	2.274743	164.091793	83.263524	-27.497139	28	0.046526	77.817925	8.047861
5	23	452.900000	524.966667	0.958651	-34.491977	161.416231	170.872812	28	0.036811	77.817925	8.047861
5	24	454.125000	524.125000	1.440147	-178.625160	-144.133183	-44.963149	28	0.055050	77.817925	8.047861
5	25	451.892857	524.071429	1.208933	146.309928	-35.064911	-10.105476	28	0.066288	77.817925	8.047861
5	26	450.333333	525.111111	3.122770	173.410873	27.100945	-37.249799	28	0.103419	77.817925	8.047861
5	27	445.523810	525.666667					28		77.817925	8.047861
6	0	509.285714	1160.571429	15.283694	61.620755		160.328946	14	1.000000	116.367323	66.970057
6	1	520.548387	1181.419355	12.008425	5.151124	-56.469631	-142.327402	14	0.882844	116.367323	66.970057
6	2	539.090909	1183.090909	3.237768	144.582941	139.431817	77.028411	14	0.764032	116.367323	66.970057
6	3	535.000000	1186.000000	9.393176	-93.330915	122.086145	-44.535472	14	0.438606	116.367323	66.970057
6	4	534.153846	1171.461538	16.917555	96.906169	-169.762916	124.115611	14	0.486123	116.367323	66.970057
6	5	531.000000	1197.500000	3.094798	21.908704	-74.997465	-158.588765	14	0.502902	116.367323	66.970057
6	6	535.451613	1199.290323	11.812474	127.919527	106.010823	95.216602	14	0.496396	116.367323	66.970057
6	7	524.196721	1213.737705	4.924747	-174.364304	57.716169	39.407779	14	0.408414	116.367323	66.970057
6	9	509.000000	1212.238095	13.190444	117.364583	-68.271113	108.714731	14	0.479710	116.367323	66.970057
6	10	499.600000	1230.400000	5.357136	92.111063	-25.253520	136.011848	14	0.532129	116.367323	66.970057
6	12	498.988095	1247.000000	10.865224	91.706367	-0.404697	137.607132	14	0.575506	116.367323	66.970057
6	13	498.486486	1263.837838					14		116.367323	66.970057
7	0	546.500000	605.500000	1.244781	38.990993		112.709698	10	1.000000	8.193765	2.594393
7	1	548.000000	606.714286	0.877419	146.421182	107.430189	5.498488	10	0.608029	8.193765	2.594393
7	2	546.866667	607.466667	0.313045	-74.054602	139.524216	-134.009648	10	0.418781	8.193765	2.594393
7	3	547.000000	607.000000	0.456084	-134.999996	-60.945394	-73.107284	10	0.223081	8.193765	2.594393
7	4	546.500000	606.500000	0.977323	98.130100	-126.869904	53.679178	10	0.418340	8.193765	2.594393
7	5	546.285714	608.000000	0.701739	-66.801408	-164.931507	-141.238463	10	0.213838	8.193765	2.594393
7	6	546.714286	607.000000	1.533563	57.264772	124.066180	94.611345	10	0.402376	8.193765	2.594393
7	7	548.000000	609.000000	0.670810	-105.945393	-163.210165	-101.886310	10	0.264606	8.193765	2.594393
7	8	547.714286	608.000000	1.419001	-8.714733	97.230660	160.757617	10	0.316630	8.193765	2.594393
7	9	549.888889	607.666667					10		8.193765	2.594393
8	0	575.000000	743.238095	13.166339	-129.557424		-61.140046	28	1.000000	94.762518	12.267679
8	1	562.000000	727.500000	4.480313	120.256434	-110.186142	46.697372	28	0.700290	94.762518	12.267679
8	2	558.500000	733.500000	1.961691	170.537673	50.281239	-2.912633	28	0.709777	94.762518	12.267679
8	3	555.500000	734.000000	0.645000	-89.999997	99.462329	-102.395629	28	0.701398	94.762518	12.267679
8	4	555.500000	733.000000	0.721132	26.565050	116.565048	140.908783	28	0.642909	94.762518	12.267679
8	5	556.500000	733.500000	0.977323	-8.130102	-34.695153	175.697971	28	0.578807	94.762518	12.267679
8	6	558.000000	733.285714	4.842543	21.194056	29.324158	146.388920	28	0.297163	94.762518	12.267679
8	7	565.000000	736.000000	3.774766	-70.016892	-91.210947	-121.855643	28	0.317380	94.762518	12.267679
8	8	567.000000	730.500000	2.819032	65.013565	135.030457	102.467253	28	0.207073	94.762518	12.267679
8	9	568.846154	734.461538	1.290954	-39.072495	-104.086060	-152.892752	28	0.205369	94.762518	12.267679
8	10	570.400000	733.200000	2.307175	-94.957123	-55.884629	-97.126023	28	0.252175	94.762518	12.267679
8	11	570.090909	729.636364	8.373040	101.794371	-163.248506	65.664092	28	0.108287	94.762518	12.267679
8	12	567.437500	742.343750	1.075105	-149.588915	108.616714	-41.406830	28	0.127325	94.762518	12.267679
8	13	566.000000	741.500000	2.063179	-79.275549	70.313365	-111.864667	28	0.129262	94.762518	12.267679
8	14	566.595238	738.357143	3.626967	57.841835	137.117384	110.629983	28	0.066983	94.762518	12.267679
8	15	569.588235	743.117647	5.201260	-97.911660	-155.753495	-92.931890	28	0.117073	94.762518	12.267679
8	16	568.478261	735.130435	2.149159	156.639902	-105.448438	11.469973	28	0.127327	94.762518	12.267679
8	17	565.419355	736.451613	5.440621	-67.357660	136.002438	-124.445721	28	0.157866	94.762518	12.267679
8	18	568.666667	728.666667	0.880966	26.227026	93.584686	141.068821	28	0.145795	94.762518	12.267679
8	19	569.891892	729.270270	4.000962	79.963095	53.736069	87.443623	28	0.081610	94.762518	12.267679
8	20	570.972973	735.378378	2.506863	-11.422044	-91.385139	179.629709	28	0.077004	94.762518	12.267679
8	21	574.782609	734.608696	5.661672	-71.475304	-60.053261	-120.313812	28	0.141848	94.762518	12.267679
8	22	577.571429	726.285714	1.495016	-33.690067	37.785238	-159.060304	28	0.152482	94.762518	12.267679
8	23	579.500000	725.000000	5.788460	-174.805566	-141.115500	-18.049380	28	0.147996	94.762518	12.267679
