cmso_object_id,cmso_frame_id,cmso_x_coord,cmso_y_coord,cmso_z_coord
0,0,64.50399999999999,4.413,0
1,1,64.638,6.528,0
2,2,64.52199999999999,10.52,0
3,3,64.093,13.027000000000001,0
4,4,62.885,16.847,0
5,5,60.031000000000006,19.994,0
6,6,60.141999999999996,20.007,0
7,7,58.068999999999996,22.073,0
8,8,58.025,22.998,0
9,9,62.032,25.995,0
10,10,63.027,30.026999999999997,0
11,11,63.09,34.013000000000005,0
12,12,63.042,37.092,0
13,13,63.104,39.053000000000004,0
14,14,63.04600000000001,41.173,0
15,15,64.536,46.881,0
16,16,64.06,52.089,0
17,17,64.16199999999999,55.992,0
18,18,62.088,57.961999999999996,0
19,19,59.918,62.928999999999995,0
20,20,59.911,68.057,0
21,21,60.123999999999995,72.931,0
22,22,59.878,77.098,0
23,23,60.003,79.0,0
24,24,59.966,80.077,0
25,25,60.044,80.008,0
26,26,54.081,83.065,0
27,27,52.02,87.071,0
28,28,52.13,91.958,0
29,29,51.835,93.64,0
30,30,52.025,98.191,0
31,31,51.997,98.962,0
32,32,51.978,101.036,0
33,33,52.07,102.979,0
34,34,52.178999999999995,104.012,0
35,35,52.123999999999995,105.012,0
36,36,52.031000000000006,108.02600000000001,0
37,37,52.013999999999996,108.958,0
38,38,52.051,112.025,0
39,39,52.012,115.05,0
40,40,51.953,117.928,0
41,41,51.995,121.095,0
42,0,105.09100000000001,112.859,0
43,1,104.902,113.101,0
44,2,104.985,113.009,0
45,3,104.991,112.98700000000001,0
46,4,104.838,112.92399999999999,0
47,5,105.09700000000001,112.92,0
48,6,105.198,113.47200000000001,0
49,7,105.035,112.87899999999999,0
50,8,105.204,112.76899999999999,0
51,9,105.087,113.139,0
52,10,104.727,113.275,0
53,11,105.006,112.807,0
54,12,105.134,112.944,0
55,13,104.836,113.288,0
56,14,105.03,113.473,0
57,15,105.204,112.854,0
58,16,104.902,113.29799999999999,0
59,19,104.88600000000001,112.839,0
60,20,105.00399999999999,112.954,0
61,21,105.025,112.897,0
62,23,104.758,112.898,0
63,24,105.027,113.059,0
64,25,105.18700000000001,113.01799999999999,0
65,26,105.35700000000001,112.944,0
66,27,104.561,112.979,0
67,28,105.197,113.117,0
68,29,105.029,113.083,0
69,30,104.838,112.81700000000001,0
70,31,105.05,113.176,0
71,32,104.91799999999999,113.09299999999999,0
72,33,105.089,112.742,0
73,34,104.723,112.971,0
74,35,104.905,112.87200000000001,0
75,36,105.023,113.19200000000001,0
76,37,104.959,113.119,0
77,38,105.169,112.88799999999999,0
78,39,105.056,113.29899999999999,0
79,40,104.79799999999999,113.054,0
80,41,105.016,112.75399999999999,0
81,42,104.795,113.03399999999999,0
82,43,105.12,113.34700000000001,0
83,44,105.18,112.897,0
84,45,104.95100000000001,113.09899999999999,0
85,46,105.031,112.728,0
86,47,104.93799999999999,112.765,0
87,48,104.595,112.726,0
88,49,104.632,113.1,0
89,0,116.77600000000001,116.691,0
90,1,116.72,116.655,0
91,2,116.835,116.512,0
92,3,116.85,116.48200000000001,0
93,4,116.889,116.397,0
94,5,116.73700000000001,116.59100000000001,0
95,6,116.788,116.491,0
96,7,116.867,116.53299999999999,0
97,8,116.89399999999999,116.454,0
98,9,116.81299999999999,116.51299999999999,0
99,10,116.679,116.345,0
100,11,116.751,116.352,0
101,12,116.834,116.458,0
102,13,116.92,116.941,0
103,14,116.844,116.561,0
104,15,116.82600000000001,116.564,0
105,16,116.932,116.506,0
106,17,116.861,116.575,0
107,18,116.726,116.443,0
108,19,116.735,116.43700000000001,0
109,20,116.821,116.398,0
110,21,116.86200000000001,116.522,0
111,22,116.791,116.559,0
112,23,116.736,116.459,0
113,24,116.78,116.329,0
114,25,116.786,116.602,0
115,26,116.8,116.554,0
116,27,116.895,116.693,0
117,28,116.76799999999999,116.587,0
118,29,116.822,116.45200000000001,0
119,30,116.815,116.432,0
120,31,116.883,116.45,0
121,32,116.87100000000001,116.413,0
122,33,116.74,116.99700000000001,0
123,34,116.78,116.49700000000001,0
124,35,116.74,116.556,0
