cmso_object_id,cmso_frame_id,cmso_x_coord,cmso_y_coord,cmso_z_coord
125,36,116.80799999999999,116.604,0
126,37,116.67,115.45,0
127,38,116.698,116.491,0
128,39,116.75,116.446,0
129,40,116.814,116.48299999999999,0
130,41,116.73,116.509,0
131,42,116.805,116.626,0
132,43,116.869,116.48,0
133,44,116.84700000000001,116.473,0
134,45,116.78,116.43,0
135,46,116.906,116.662,0
136,47,116.806,116.615,0
137,48,116.70700000000001,116.50399999999999,0
138,49,116.75399999999999,116.455,0
139,9,53.016999999999996,26.112,0
140,10,49.925,28.943,0
141,11,49.071000000000005,30.068,0
142,12,46.095,33.003,0
143,13,42.907,34.818000000000005,0
144,14,40.079,37.881,0
145,15,36.984,42.031000000000006,0
146,16,32.891,44.968,0
147,17,27.984,47.056000000000004,0
148,18,23.98,50.105,0
149,19,17.910999999999998,47.952,0
150,20,12.915999999999999,44.98,0
151,21,9.961,41.062,0
152,22,9.949,37.076,0
153,23,9.934,32.972,0
154,24,9.965,28.024,0
155,25,9.95,23.002,0
156,26,10.166,18.017,0
157,27,14.033,15.019,0
158,28,19.180999999999997,13.049000000000001,0
159,29,23.125,10.96,0
160,16,42.106,48.086000000000006,0
161,17,41.977,52.06,0
162,18,42.021,55.074,0
163,19,42.169,56.986000000000004,0
164,20,41.966,60.028,0
165,21,42.004,63.964,0
166,22,42.108999999999995,68.03699999999999,0
167,23,42.015,71.977,0
168,24,42.066,76.07600000000001,0
169,25,44.931999999999995,79.962,0
170,26,49.915,82.90799999999999,0
171,39,108.86399999999999,19.074,0
172,40,108.88600000000001,24.02,0
173,41,108.929,27.968000000000004,0
174,42,108.95700000000001,32.01,0
175,43,108.95100000000001,35.986,0
176,45,108.946,39.964,0
177,46,109.052,44.053000000000004,0
178,47,108.948,48.093999999999994,0
179,48,109.01299999999999,51.913000000000004,0
180,49,108.961,56.033,0
