index,EDGE_ID,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,SOURCE_FRAME,TARGET_FRAME
187,187,2,3672,3675,36,37
190,190,2,3671,3675,36,37
125,125,2,3675,3690,37,38
194,194,2,3675,3689,37,38
124,124,2,3689,3708,38,39
211,211,2,3690,3710,38,39
145,145,2,3710,3705,39,40
179,179,2,3708,3703,39,40
173,173,2,3703,3698,40,41
209,209,2,3705,3699,40,41
150,150,2,3699,3723,41,42
156,156,2,3698,3722,41,42
161,161,2,3722,3717,42,43
175,175,2,3723,3718,42,43
127,127,2,3717,3712,43,44
197,197,2,3718,3713,43,44
186,186,2,3713,3727,44,45
207,207,2,3712,3726,44,45
137,137,2,3727,3737,45,46
140,140,2,3726,3735,45,46
139,139,2,3735,3730,46,47
184,184,2,3737,3731,46,47
163,163,2,3730,3740,47,48
204,204,2,3731,3741,47,48
152,152,2,3741,3745,48,49
214,214,2,3740,3744,48,49
226,226,3,3706,3701,39,40
224,224,3,3701,3696,40,41
221,221,3,3696,3720,41,42
222,222,3,3720,3714,42,43
225,225,3,3714,3724,43,45
223,223,3,3724,3732,45,46
228,228,3,3732,3728,46,47
227,227,3,3728,3738,47,48
229,229,3,3738,3742,48,49
