cmso_object_id,cmso_frame_id,cmso_x_coord,cmso_y_coord
0,0,2.1875,1170.1875
1,1,2.2105259999999998,1171.578947
2,2,14.333332999999998,1168.717949
3,3,18.5,1156.5
4,4,28.166666999999997,1163.114583
5,5,26.5,1170.5
6,6,26.885246000000002,1164.393443
7,7,28.692308,1168.538462
8,8,22.424242,1172.030303
9,9,25.411765,1173.882353
10,10,26.535211,1173.943662
11,11,18.237113,1168.783505
12,12,1.0,1165.5
13,13,1.0,1159.5
14,14,5.212389,1160.522124
15,15,1.416667,1157.0
16,16,5.709677,1163.5483869999998
17,17,1.1,1160.0
18,19,2.766667,1165.266667
19,20,1.0,1155.0
20,21,1.0,1161.0
21,22,1.411765,1164.705882
22,0,78.603774,1274.867925
23,1,73.833333,1276.166667
24,2,77.733333,1274.966667
25,3,80.102041,1272.714286
26,4,74.333333,1279.333333
27,5,71.5,1277.0
28,6,72.0,1275.285714
29,7,71.588235,1275.882353
30,8,76.0,1274.5
31,9,77.0,1275.0
32,10,78.0,1273.875
33,11,81.268293,1280.097561
34,12,83.190476,1278.952381
35,13,79.6,1273.2
36,14,65.0,1270.0
37,15,59.8125,1271.53125
38,16,60.761905000000006,1271.380952
39,17,58.5,1270.0
40,18,53.5,1270.5
41,19,43.918919,1273.567568
42,20,33.4375,1280.25
43,21,30.469696999999996,1285.742424
44,22,28.851064,1294.808511
45,23,31.5,1294.5
46,24,35.875,1307.666667
47,25,32.5,1316.294118
48,26,26.125,1320.333333
49,27,24.0,1326.0
50,28,16.975,1328.675
51,29,7.626506,1333.771084
52,30,7.75,1336.113636
53,31,1.4285709999999998,1339.285714
54,33,1.0,1341.0
55,35,1.388889,1339.0
56,0,367.0,807.5
57,1,373.125,810.666667
58,2,366.243243,808.756757
59,3,361.21052599999996,803.842105
60,4,360.125,799.875
61,5,365.314286,803.9142860000001
62,6,365.06779700000004,803.474576
63,7,371.333333,807.111111
64,8,381.827586,800.1034480000001
65,9,375.2,805.075
66,10,382.5,800.0
67,11,384.951613,800.483871
68,12,394.22222200000004,802.296296
69,13,396.684211,801.815789
70,14,399.471698,799.792453
71,15,394.184211,801.315789
72,16,398.942857,799.2
73,17,395.333333,802.333333
74,18,389.93220299999996,801.508475
75,19,385.25,798.4375
76,21,376.142857,808.482143
77,22,375.157895,808.842105
78,6,164.75,35.208333
79,8,164.366667,34.633333
80,10,164.411765,33.882353
81,12,235.285714,46.5
82,13,228.461538,48.589744
83,14,229.896552,57.482758999999994
84,15,234.5,53.13793100000001
85,16,235.756098,57.0
86,17,225.484848,69.757576
87,19,228.380952,69.095238
88,20,233.285714,49.0
89,21,233.754717,45.301887
90,22,233.963415,48.134146
91,23,233.164706,45.247059
92,24,229.18461499999998,47.476923
93,25,232.5,45.5
94,26,225.73118300000002,48.354839
95,27,226.5,50.0
96,29,232.142857,55.987013
97,30,231.682927,62.463415000000005
98,31,230.375,63.75
99,32,229.35135099999997,47.432432
100,33,226.93975899999998,46.120482
101,34,231.0,43.0
102,35,234.0,43.0
103,36,233.92,42.8
104,37,235.388889,54.861111
105,39,231.04629599999998,66.60185200000001
106,40,231.73913,58.826087
107,42,230.6,62.6
108,44,227.384615,66.615385
109,45,229.35513999999998,59.037383
110,46,228.19811299999998,57.09434
111,7,582.5,1371.75
112,8,583.625,1370.875
113,9,583.888889,1372.888889
114,10,582.580645,1370.5
115,11,583.090909,1372.636364
116,12,583.883721,1371.325581
117,13,583.447059,1370.082353
118,14,583.5,1370.40625
119,15,582.753846,1370.584615
120,16,583.551724,1370.045977
121,18,583.736842,1370.719298
122,19,582.5,1370.724138
123,20,583.246753,1370.4285710000001
124,21,582.0,1373.5
125,22,581.733333,1371.088889
126,23,583.0,1372.307692
127,12,2.333333,1129.333333
128,13,2.4,1128.4
129,14,5.465116,1128.744186
130,15,4.125,1129.125
131,16,3.333333,1130.533333
132,18,3.666667,1129.666667
133,19,3.7236839999999995,1130.276316
134,21,7.058824,1127.352941
135,22,3.5,1129.931818
136,23,6.253623,1130.246377
137,24,7.153846000000001,1127.538462
138,25,5.294118,1129.27451
139,25,205.0,1370.684211
140,26,218.26470600000002,1360.676471
141,27,221.875,1354.333333
142,28,221.791667,1357.166667
143,29,226.5,1355.5
144,30,230.846154,1353.538462
145,31,232.39473700000002,1356.3684210000001
146,32,230.25,1354.583333
147,33,214.116883,1367.207792
148,34,176.5,1356.5
149,35,165.0,1356.2
150,36,159.0,1363.5
151,37,148.83871000000002,1369.612903
152,38,142.583333,1371.458333
153,39,143.677083,1368.427083
154,40,142.44186000000002,1364.1162789999998
155,41,134.5,1367.164384
156,0,180.561404,1026.035088
157,1,179.890411,1029.232877
158,2,179.647887,1029.112676
159,3,178.410256,1028.3205130000001
160,4,178.31481499999998,1028.722222
161,5,177.882353,1028.588235
162,6,177.82857099999998,1028.0
163,7,177.5,1027.5
164,8,177.974026,1027.441558
165,9,177.75,1026.384615
166,10,177.865672,1026.791045
167,11,177.38181799999998,1026.690909
168,12,178.0,1026.0
169,13,177.5,1025.0
170,14,178.0,1025.5
171,15,178.0,1026.291667
172,16,177.826923,1026.711538
173,17,176.916667,1027.229167
174,18,177.56,1025.973333
175,19,177.0,1026.291667
176,20,177.11111100000002,1026.333333
177,21,176.971831,1026.323944
178,22,176.88,1027.36
179,23,177.265625,1027.125
180,24,177.04838700000002,1026.854839
181,25,177.023256,1026.581395
182,26,176.6,1025.6
183,27,176.886364,1026.7954550000002
184,28,176.789474,1027.1052630000001
185,29,177.366667,1027.366667
186,30,177.6,1026.6
187,31,177.190476,1028.285714
188,32,177.119403,1026.0
189,33,177.321429,1026.6785710000001
190,34,176.911765,1026.794118
191,35,176.75,1027.25
192,36,176.5,1027.0
193,37,177.5,1028.0
194,38,176.568627,1027.5294119999999
195,39,176.822222,1026.4
196,40,176.133333,1026.013333
197,41,176.125,1027.875
198,42,176.722222,1028.111111
199,43,175.5,1026.0
200,44,176.5,1026.0
201,45,176.5,1026.5
202,46,176.028169,1026.676056
203,47,176.666667,1025.5
204,48,176.594595,1027.1621619999999
205,49,176.098592,1027.901408
206,50,176.5,1025.916667
207,51,176.5,1026.5
208,52,177.277778,1027.111111
209,53,177.231884,1027.6376810000002
210,54,177.352941,1027.0
211,55,176.371429,1026.385714
212,56,176.5,1027.5
213,57,176.865672,1026.447761
214,58,177.0,1028.756098
215,59,176.586207,1028.724138
216,60,177.191489,1025.361702
217,61,177.0,1025.0
218,62,177.0,1026.5
219,63,177.014286,1027.414286
220,64,177.25,1026.615385
221,65,176.910448,1026.910448
222,66,177.151515,1027.060606
223,67,177.5,1025.5
224,68,176.944444,1026.805556
225,69,176.608696,1026.9565220000002
226,70,177.243902,1026.0
227,71,177.246753,1027.636364
228,72,177.47619,1027.714286
229,73,176.75,1028.25
230,74,177.411765,1027.117647
231,75,176.916667,1026.638889
232,76,177.1875,1026.359375
233,77,177.064516,1026.741935
234,78,177.0,1025.5
235,79,177.265625,1026.125
236,80,178.608696,1025.9565220000002
237,81,178.92,1026.8
238,82,177.795455,1025.886364
239,83,179.027778,1026.361111
240,84,180.84,1025.92
241,85,181.71428600000002,1025.357143
242,0,525.631579,1040.210526
243,1,525.09375,1043.0
244,2,525.210526,1041.0
245,3,523.761905,1040.380952
246,4,522.891304,1040.630435
247,5,522.181818,1038.272727
248,6,527.5588240000001,1034.647059
249,7,531.5,1032.5
250,8,526.3965519999999,1039.12069
251,9,529.114754,1041.065574
252,10,522.883721,1038.8837210000002
253,11,521.5,1038.0
254,12,520.789474,1039.1578949999998
255,13,518.5882349999999,1039.882353
256,14,518.0,1040.0
257,15,518.5,1042.5
258,16,524.875,1037.875
259,17,527.25,1039.384615
260,18,529.0,1035.5
261,19,526.0,1038.0
262,20,518.5,1039.0
263,21,518.4,1039.4
264,22,517.313725,1038.784314
265,23,514.4418599999999,1039.837209
266,24,523.366667,1035.066667
267,25,524.275862,1038.413793
268,26,528.626016,1032.487805
269,27,529.54023,1028.137931
270,28,544.153846,1029.461538
271,29,547.0,1031.0
272,30,547.9,1032.05
