object_id_cmso,frame_cmso,x_coord_cmso,y_coord_cmso,z_coord_cmso
0,0.0,129.8153846153846,995.0153846153846,0.0
1,1.0,129.8153846153846,995.0153846153846,0.0
2,2.0,129.8153846153846,995.0153846153846,0.0
3,3.0,131.23076923076923,998.9230769230768,0.0
4,4.0,126.8048780487805,996.0487804878047,0.0
5,0.0,90.85714285714286,851.7142857142858,0.0
6,1.0,90.85714285714286,851.7142857142858,0.0
7,2.0,93.27272727272728,854.9545454545455,0.0
8,3.0,93.73076923076924,854.4230769230769,0.0
9,4.0,92.78260869565216,853.5217391304348,0.0
10,0.0,167.83488372093026,576.0488372093022,0.0
11,1.0,170.69037656903762,575.6715481171548,0.0
12,2.0,171.27734375,578.41796875,0.0
13,3.0,170.56546489563567,581.4478178368123,0.0
14,4.0,168.52032520325204,583.1321138211382,0.0
15,5.0,168.23362445414847,580.589519650655,0.0
16,6.0,167.36182902584494,582.027833001988,0.0
17,7.0,166.88041237113399,580.3092783505156,0.0
18,8.0,167.14949494949494,581.6101010101011,0.0
19,9.0,165.41322314049586,580.3615702479339,0.0
20,10.0,165.59528487229863,582.3595284872298,0.0
21,11.0,164.82917466410748,581.1420345489444,0.0
22,12.0,165.52788844621514,582.1772908366534,0.0
23,13.0,165.07243460764587,580.8792756539235,0.0
24,14.0,164.57991803278688,581.9323770491802,0.0
25,15.0,163.5069033530572,582.5996055226824,0.0
26,16.0,163.251012145749,580.7753036437248,0.0
27,17.0,164.59674134419555,582.0549898167006,0.0
28,18.0,164.14141414141417,581.9333333333333,0.0
29,19.0,163.10671936758894,582.7588932806324,0.0
30,20.0,163.72,585.298,0.0
31,21.0,164.27606177606174,583.457528957529,0.0
32,22.0,166.64671814671811,582.8783783783782,0.0
33,23.0,166.92844036697247,586.1412844036697,0.0
34,24.0,166.55058365758754,584.1498054474707,0.0
35,25.0,163.1098901098901,582.3479853479854,0.0
36,26.0,162.87292817679557,584.4714548802947,0.0
37,27.0,163.25708884688092,587.2646502835538,0.0
38,28.0,164.34874759152217,584.7726396917149,0.0
39,29.0,163.74569789674953,584.0095602294455,0.0
40,30.0,165.58333333333334,583.0,0.0
41,31.0,164.03137254901958,582.4019607843137,0.0
42,32.0,163.55038759689918,582.0116279069767,0.0
43,33.0,162.98804780876497,581.5059760956175,0.0
44,34.0,165.04660194174758,582.53786407767,0.0
45,35.0,165.17564870259483,584.3133732534931,0.0
46,36.0,165.30769230769232,584.4261954261955,0.0
47,37.0,165.69052224371373,584.3713733075435,0.0
48,38.0,166.20202020202018,584.5272727272727,0.0
49,39.0,165.8266129032258,583.8407258064517,0.0
50,40.0,166.47422680412367,585.5958762886597,0.0
51,41.0,166.6180698151951,587.2217659137577,0.0
52,42.0,167.57289527720738,590.3367556468172,0.0
53,43.0,168.47109207708783,591.4004282655246,0.0
54,44.0,169.83599999999998,592.132,0.0
55,45.0,169.71120689655172,589.4547413793102,0.0
56,46.0,168.7932489451477,589.0253164556963,0.0
57,47.0,170.81917211328977,588.1612200435728,0.0
58,48.0,172.79535864978905,587.4409282700421,0.0
59,49.0,173.3,589.0765957446807,0.0
60,50.0,174.73555555555558,589.2933333333333,0.0
61,51.0,175.29157667386607,589.1015118790498,0.0
62,52.0,175.47098214285714,588.3303571428571,0.0
63,53.0,174.1925601750547,588.3107221006563,0.0
64,54.0,173.61622807017542,587.6578947368421,0.0
65,55.0,174.6529680365297,587.0365296803652,0.0
66,56.0,174.65258215962442,586.8661971830986,0.0
67,57.0,173.9502369668246,585.7298578199052,0.0
68,58.0,174.00238095238097,586.1404761904762,0.0
69,59.0,173.731884057971,586.2487922705315,0.0
70,0.0,91.32545045045043,878.4763513513514,0.0
71,1.0,91.85082304526749,880.3179012345679,0.0
72,2.0,90.71118349619978,880.0054288816502,0.0
73,3.0,91.04746494066882,878.8985976267529,0.0
74,4.0,91.23819742489272,877.0289699570816,0.0
75,5.0,91.93691830403307,876.0361944157187,0.0
76,6.0,93.74809160305344,872.1526717557252,0.0
77,7.0,93.11407766990291,873.0740291262136,0.0
78,8.0,93.14763779042327,873.1102686273331,0.0
79,9.0,92.67368421052632,873.9719298245614,0.0
80,10.0,93.44526445264452,871.9840098400986,0.0
81,11.0,92.7715909090909,874.6045454545455,0.0
82,12.0,92.43232323232323,876.4787878787879,0.0
83,13.0,91.95671476137623,878.1398446170921,0.0
84,14.0,93.0951821386604,875.2773207990599,0.0
85,15.0,92.67117585848077,874.4817898022893,0.0
86,16.0,92.81827842720509,873.4272051009566,0.0
87,17.0,93.93961105424768,874.3203684749233,0.0
88,18.0,94.66736621196222,875.697796432319,0.0
89,19.0,94.56565656565657,875.1696969696968,0.0
90,20.0,94.46483180428137,875.5545361875638,0.0
91,21.0,95.69367588932806,875.0088932806324,0.0
92,22.0,96.36468129571578,873.6185997910136,0.0
93,23.0,96.1307847082495,872.569416498994,0.0
94,24.0,95.56243654822336,873.2274111675129,0.0
95,25.0,95.811078140455,874.2007912957467,0.0
96,26.0,94.10256410256409,875.6543209876543,0.0
97,27.0,95.27113402061855,874.1711340206184,0.0
98,28.0,94.82779456193352,874.4380664652568,0.0
99,29.0,96.04464285714286,873.4265873015872,0.0
100,30.0,96.5060606060606,873.2313131313133,0.0
101,31.0,97.71596998928189,873.5637727759913,0.0
102,32.0,97.86349206349207,872.1481481481482,0.0
103,33.0,93.48800834202294,874.5464025026068,0.0
104,34.0,94.81858902575588,872.4333706606943,0.0
105,35.0,94.02023429179978,874.7465388711395,0.0
106,36.0,94.82134831460674,873.676404494382,0.0
107,37.0,96.52783725910065,873.0289079229123,0.0
108,38.0,96.42146892655369,874.6,0.0
109,39.0,95.94335511982572,875.0032679738562,0.0
110,40.0,96.38578680203042,875.2944162436548,0.0
111,41.0,95.12552301255229,875.3410041841004,0.0
112,42.0,99.50158061116966,874.6122233930452,0.0
113,43.0,98.70538542766631,874.5934530095038,0.0
114,44.0,99.21391484942889,874.4392523364487,0.0
115,45.0,96.20498084291188,876.6053639846742,0.0
116,46.0,98.63702928870293,874.8305439330544,0.0
117,47.0,97.81437125748505,876.5239520958082,0.0
118,48.0,99.01659751037344,876.0767634854773,0.0
119,49.0,98.10591900311528,875.8245067497404,0.0
120,50.0,98.2646038917917,875.8939275459943,0.0
121,51.0,101.48675496688742,876.3984547461367,0.0
122,52.0,100.68121719811349,876.2723229461012,0.0
123,53.0,99.56560636182905,877.8290258449306,0.0
124,54.0,100.89556962025316,877.1835443037975,0.0
125,55.0,100.57588805166846,876.4305705059204,0.0
126,56.0,100.59011715948007,876.6348330689164,0.0
127,57.0,100.78610804851158,876.0485115766263,0.0
128,58.0,102.74443266171792,875.7136797454932,0.0
129,59.0,102.36373507057544,875.8349619978285,0.0
130,0.0,311.14285714285717,487.0399385560677,0.0
131,1.0,308.74542897327706,485.1026722925457,0.0
132,2.0,308.2825112107623,480.42899850523173,0.0
133,3.0,306.88489208633086,482.0877697841727,0.0
134,4.0,306.64757709251097,486.0117474302496,0.0
135,5.0,306.2186588921283,482.57142857142856,0.0
136,6.0,306.3667444406063,483.18053115527465,0.0
137,7.0,306.3667444406063,483.18053115527465,0.0
138,8.0,311.843653250774,485.6207430340558,0.0
139,9.0,311.74924012158056,485.8191489361702,0.0
140,10.0,311.55806841305315,485.67517832342867,0.0
141,11.0,311.55806841305315,485.67517832342867,0.0
142,12.0,307.2,483.33333333333326,0.0
143,13.0,307.8966777334224,483.7076990167264,0.0
144,14.0,307.8966777334224,483.7076990167264,0.0
