Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
2	44	105.18	112.897	0	5.148	1.655	3.412	7.874	19.816	0.143
2	45	104.951	113.099	0	5.031	1.623	3.28	7.414	18.269	0.333
2	46	105.031	112.728	0	5.191	1.696	3.573	8.419	21.602	0.333
2	47	104.938	112.765	0	5.787	1.67	3.462	7.999	20.036	0.333
2	48	104.595	112.726	0	4.821	1.728	3.714	8.993	23.931	0.333
2	49	104.632	113.1	0	4.731	1.832	4.336	11.977	37.385	0.333
3	0	116.776	116.691	0	12.079	2.353	6.845	22.421	79.66	0.333
3	1	116.72	116.655	0	12.515	2.24	6.203	19.353	65.651	0.333
3	2	116.835	116.512	0	12.604	2.3	6.526	20.844	72.268	0.333
3	3	116.85	116.482	0	12.305	2.236	6.199	19.431	66.41	0.333
3	4	116.889	116.397	0	11.648	2.256	6.275	19.64	66.749	0.333
3	5	116.737	116.591	0	12.504	2.373	6.983	23.145	83.203	0.333
3	6	116.788	116.491	0	12.299	2.247	6.245	19.579	66.812	0.333
3	7	116.867	116.533	0	12.44	2.341	6.762	21.976	77.414	0.333
3	8	116.894	116.454	0	12.402	2.256	6.274	19.664	67.078	0.333
3	9	116.813	116.513	0	12.509	2.392	7.083	23.635	85.53	0.25
3	10	116.679	116.345	0	12.003	2.24	6.204	19.375	65.844	0.25
3	11	116.751	116.352	0	11.923	2.266	6.39	20.414	71.164	0.25
3	12	116.834	116.458	0	12.756	2.336	6.749	21.982	77.736	0.25
3	13	116.92	116.941	0	12.654	2.347	6.836	22.542	81.062	0.25
3	14	116.844	116.561	0	12.538	2.349	6.822	22.303	79.08	0.25
3	15	116.826	116.564	0	12.644	2.308	6.586	21.216	74.372	0.25
3	16	116.932	116.506	0	12.051	2.317	6.651	21.516	75.568	0.2
3	17	116.861	116.575	0	12.96	2.324	6.674	21.618	76.174	0.25
3	18	116.726	116.443	0	12.215	2.342	6.792	22.212	78.867	0.25
3	19	116.735	116.437	0	12.18	2.247	6.255	19.687	67.576	0.2
3	20	116.821	116.398	0	11.784	2.293	6.532	21.012	73.487	0.2
3	21	116.862	116.522	0	12.715	2.348	6.815	22.291	79.162	0.2
3	22	116.791	116.559	0	12.175	2.29	6.493	20.759	72.117	0.25
3	23	116.736	116.459	0	12.427	2.318	6.643	21.468	75.425	0.2
3	24	116.78	116.329	0	11.653	2.269	6.399	20.413	70.941	0.2
3	25	116.786	116.602	0	12.541	2.279	6.365	19.926	67.506	0.2
3	26	116.8	116.554	0	11.956	2.296	6.524	20.893	72.696	0.2
3	27	116.895	116.693	0	12.876	2.324	6.669	21.529	75.369	0.25
3	28	116.768	116.587	0	12.622	2.262	6.318	19.914	68.347	0.25
3	29	116.822	116.452	0	12.242	2.308	6.639	21.609	76.607	0.25
3	30	116.815	116.432	0	11.85	2.329	6.686	21.577	75.453	0.333
3	31	116.883	116.45	0	12.223	2.246	6.224	19.406	65.708	0.333
3	32	116.871	116.413	0	12.314	2.369	6.957	23.046	82.888	0.333
3	33	116.74	116.997	0	12.98	2.353	6.911	23	83.404	0.333
3	34	116.78	116.497	0	12.444	2.274	6.383	20.18	69.322	0.333
3	35	116.74	116.556	0	12.344	2.322	6.647	21.392	74.639	0.333
3	36	116.808	116.604	0	12.779	2.426	7.25	24.333	88.364	0.333
3	37	116.67	115.45	0	9.859	1.915	4.57	12.351	36.611	0.333
3	38	116.698	116.491	0	11.934	2.298	6.522	20.815	72.056	0.333
3	39	116.75	116.446	0	12.13	2.276	6.423	20.48	71.1	0.25
3	40	116.814	116.483	0	12.939	2.329	6.731	21.955	77.842	0.25
3	41	116.73	116.509	0	12.313	2.303	6.578	21.248	74.745	0.25
3	42	116.805	116.626	0	12.819	2.328	6.705	21.783	76.897	0.333
3	43	116.869	116.48	0	12.845	2.316	6.641	21.493	75.646	0.333
3	44	116.847	116.473	0	12.554	2.309	6.588	21.177	73.904	0.143
3	45	116.78	116.43	0	12.376	2.336	6.762	22.081	78.321	0.333
3	46	116.906	116.662	0	12.937	2.374	6.953	22.888	81.626	0.333
3	47	116.806	116.615	0	12.909	2.346	6.782	22.054	77.733	0.333
3	48	116.707	116.504	0	12.313	2.315	6.625	21.375	74.939	0.333
3	49	116.754	116.455	0	12.193	2.284	6.437	20.408	70.212	0.333
4	9	53.017	26.112	0	14.457	1.767	3.848	9.34	24.562	0.25
4	10	49.925	28.943	0	14.642	1.77	3.846	9.296	24.29	0.25
4	11	49.071	30.068	0	15.83	1.807	3.997	9.827	26.091	0.252
4	12	46.095	33.003	0	14.915	1.792	3.962	9.791	26.288	0.25
4	13	42.907	34.818	0	15.617	1.799	3.968	9.74	25.852	0.25
4	14	40.079	37.881	0	15.036	1.78	3.883	9.407	24.61	0.25
4	15	36.984	42.031	0	14.329	1.828	4.152	10.639	29.876	0.25
4	16	32.891	44.968	0	14.918	1.768	3.83	9.216	23.947	0.204
4	17	27.984	47.056	0	13.477	1.774	3.883	9.487	25.133	0.25
4	18	23.98	50.105	0	14.183	1.766	3.836	9.285	24.332	0.25
4	19	17.911	47.952	0	14.307	1.753	3.775	9.048	23.46	0.2
4	20	12.916	44.98	0	14.427	1.8	3.991	9.887	26.573	0.2
4	21	9.961	41.062	0	15.811	1.816	4.089	10.351	28.63	0.26
4	22	9.949	37.076	0	14.195	1.805	4.024	10.05	27.321	0.25
4	23	9.934	32.972	0	14.264	1.774	3.879	9.468	25.066	0.268
4	24	9.965	28.024	0	13.851	1.796	3.973	9.816	26.306	0.2
4	25	9.95	23.002	0	15.194	1.826	4.115	10.394	28.575	0.202
4	26	10.166	18.017	0	15.259	1.795	3.957	9.71	25.786	0.2
4	27	14.033	15.019	0	15.525	1.813	4.071	10.271	28.272	0.25
4	28	19.181	13.049	0	14.897	1.777	3.905	9.618	25.793	0.25
4	29	23.125	10.96	0	15.139	1.795	3.974	9.847	26.548	0.25
5	16	42.106	48.086	0	14.64	1.75	3.757	8.971	23.166	0.203
5	17	41.977	52.06	0	16.18	1.821	4.079	10.205	27.698	0.261
5	18	42.021	55.074	0	14.713	1.776	3.891	9.518	25.257	0.25
5	19	42.169	56.986	0	14.632	1.778	3.903	9.586	25.594	0.2
5	20	41.966	60.028	0	15.652	1.796	3.966	9.767	26.071	0.2
5	21	42.004	63.964	0	15.437	1.801	3.995	9.9	26.625	0.201
