object_id_cmso,frame_cmso,x_coord_cmso,y_coord_cmso
3584,20,41.442272038170195,59.47079613625139
3585,20,59.31529253640133,67.50999534915132
3586,20,104.49722295751815,112.49633072195077
3587,20,116.28151244041172,114.13018604507315
3588,20,116.29521351006873,117.662540654027
3589,17,27.53923653322674,46.528724710286525
3590,17,41.47492546406285,51.6078317877252
3591,17,63.69558503018373,55.36317713111583
3592,17,104.48081927707935,112.327766944738
3593,17,116.26127046964868,114.04791021078223
3594,17,116.45993109517933,117.85091933034677
3595,19,17.448291486394552,47.48483613652124
3596,19,41.64460470187865,56.402923644343744
3597,19,59.47346422209024,62.42075661022099
3598,19,104.3256752587223,112.25821246854854
3599,19,116.19017660617372,114.16167121907964
3600,19,116.28586652677768,117.70529596941657
3601,22,9.478789606155393,36.54009622064519
3602,22,41.50475210826596,67.47665929803067
3603,22,59.30311991478677,76.62347871187815
3604,22,104.41636319583955,112.30176901474921
3605,22,116.15674897783745,114.18793398924389
3606,22,116.42655077845771,117.71051909972819
3607,24,9.54124836870207,27.520083605050097
3608,24,41.56768447889776,75.5391929910989
3609,24,59.42055712537924,79.62486683459811
3610,24,104.56725196224228,112.54307237027123
3611,24,116.21393728441686,114.15705481321194
3612,24,116.26884555641418,117.67929173448833
3613,18,23.469786676382995,49.503725148957365
3614,18,41.47986894881694,54.53799238868074
3615,18,61.539579557436284,57.49087077766613
3616,18,104.59199123017386,112.43785700126176
3617,18,116.21824852000111,114.13902085822666
3618,18,116.25051845202843,117.80670091316186
3619,27,13.567056783115653,14.4490941936996
3620,27,51.56415776047924,86.59810511925413
3621,27,104.17633871732113,112.65890116493162
3622,27,116.23999023737771,114.08902382255081
3623,27,116.49003081021964,117.90004195876371
3624,25,9.426130164347768,22.513585521997825
3625,25,44.42532826704408,79.46434766840595
3626,25,59.53484477326351,79.48685957576447
3627,25,104.75452484863503,112.44433188598961
3628,25,116.25570209099254,114.09364242791773
3629,25,116.32760724726589,117.92915651801488
3630,21,9.421505935217892,40.508854356651426
3631,21,41.48371027114379,63.485437240733766
3632,21,59.524192432159886,72.49784556771581
3633,21,104.52061724854346,112.4555881045565
