ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
3	2	366.243243	808.756757	2.265060	-135.680009	28.808933	21.316749	23	0.325001	41.332573	2.662153
3	3	361.210526	803.842105	1.324367	-105.303345	30.376664	-8.893661	23	0.407664	41.332573	2.662153
3	4	360.125000	799.875000	2.117490	37.896816	143.200160	-152.135354	23	0.124753	41.332573	2.662153
3	5	365.314286	803.914286	0.162315	-119.273796	-157.170612	4.835828	23	0.138392	41.332573	2.662153
3	6	365.067797	803.474576	2.332697	30.130997	149.404793	-144.566206	23	0.110121	41.332573	2.662153
3	7	371.333333	807.111111	4.063286	-33.733491	-63.864488	-80.972582	23	0.317874	41.332573	2.662153
3	8	381.827586	800.103448	2.667770	143.125329	176.858820	101.363135	23	0.141544	41.332573	2.662153
3	9	375.200000	805.075000	2.862825	-34.807237	-177.932566	-80.180328	23	0.248460	41.332573	2.662153
3	10	382.500000	800.000000	0.804648	11.164880	45.972117	-126.718506	23	0.268431	41.332573	2.662153
3	11	384.951613	800.483871	3.041649	11.061931	-0.102949	-126.744766	23	0.341115	41.332573	2.662153
3	12	394.222222	802.296296	0.807718	-11.043605	-22.105535	-105.124388	23	0.360848	41.332573	2.662153
3	13	396.684211	801.815789	1.109101	-35.974542	-24.930938	-80.348546	23	0.382722	41.332573	2.662153
3	14	399.471698	799.792453	1.771822	163.928190	-160.097268	79.531098	23	0.300729	41.332573	2.662153
3	15	394.184211	801.315789	1.676915	-23.970887	172.100923	-92.222660	23	0.337075	41.332573	2.662153
3	16	398.942857	799.200000	1.539094	139.039601	163.010489	104.433052	23	0.280457	41.332573	2.662153
3	17	395.333333	802.333333	1.759328	-171.316894	49.643504	55.086068	23	0.219148	41.332573	2.662153
3	18	389.932203	801.508475	1.803025	-146.739834	24.577060	30.797012	23	0.179124	41.332573	2.662153
3	19	385.250000	798.437500	2.182930	132.197545	-81.062621	112.044922	23	0.072227	41.332573	2.662153
3	21	376.142857	808.482143	0.337674	159.924760	27.727215	85.125241	23	0.064408	41.332573	2.662153
3	22	375.157895	808.842105					23		41.332573	2.662153
4	6	164.750000	35.208333	0.111261	-123.690064		-44.246845	41	1.000000	84.617875	21.611599
4	8	164.366667	34.633333	0.121126	-86.563386	37.126678	-81.537996	41	0.948069	84.617875	21.611599
4	10	164.411765	33.882353	11.590123	10.094573	96.657959	-178.449945	41	0.972792	84.617875	21.611599
4	12	235.285714	46.500000	2.298106	162.974018	152.879446	28.205405	41	0.808026	84.617875	21.611599
4	13	228.461538	48.589744	2.900592	80.833531	-82.140487	111.173370	41	0.768606	84.617875	21.611599
4	14	229.896552	57.482759	2.038269	-43.344512	-124.178044	-122.617218	41	0.750912	84.617875	21.611599
4	15	234.500000	53.137931	1.307707	71.983423	115.327936	120.784244	41	0.742986	84.617875	21.611599
4	16	235.756098	57.000000	5.273868	128.837878	56.854455	64.753998	41	0.600568	84.617875	21.611599
4	17	225.484848	69.757576	0.478311	-12.881977	-141.719855	-149.927675	41	0.604202	84.617875	21.611599
4	19	228.380952	69.095238	6.660617	-76.283661	-63.401683	-86.883471	41	0.499346	84.617875	21.611599
4	20	233.285714	49.000000	1.200331	-82.772209	-6.488548	-85.365655	41	0.485208	84.617875	21.611599
4	21	233.754717	45.301887	0.914460	85.785722	168.557930	105.182293	41	0.480385	84.617875	21.611599
4	22	233.963415	48.134146	0.964561	-105.464029	168.750250	-62.910507	41	0.462321	84.617875	21.611599
4	23	233.164706	45.247059	1.469019	150.740063	-103.795908	40.242047	41	0.425570	84.617875	21.611599
4	24	229.184615	47.476923	1.242937	-30.807103	178.452834	-137.489279	41	0.433750	84.617875	21.611599
4	25	232.500000	45.500000	2.365484	157.131763	-172.061133	33.941024	41	0.377310	84.617875	21.611599
4	26	225.731183	48.354839	0.584732	64.952361	-92.179402	127.138486	41	0.379880	84.617875	21.611599
4	27	226.500000	50.000000	1.324573	46.695024	-18.257337	145.753411	41	0.402124	84.617875	21.611599
4	29	232.142857	55.987013	2.090653	94.062114	47.367090	99.497253	41	0.397368	84.617875	21.611599
4	30	231.682927	62.463415	0.590760	135.471279	41.409165	59.617329	41	0.389555	84.617875	21.611599
4	31	230.375000	63.750000	5.264585	-93.589625	130.939096	-70.942394	41	0.328649	84.617875	21.611599
4	32	229.351351	47.432432	0.884005	-151.452993	-57.863368	-16.862322	41	0.311341	84.617875	21.611599
4	33	226.939759	46.120482	1.648909	-37.543933	113.909060	-130.968411	41	0.320828	84.617875	21.611599
4	34	231.000000	43.000000	0.966000	0.000000	37.543933	-169.455236	41	0.330395	84.617875	21.611599
4	35	234.000000	43.000000	0.069361	-111.801406	-111.801406	-57.786044	41	0.329576	84.617875	21.611599
4	36	233.920000	42.800000	3.912373	83.056301	-165.142293	107.312339	41	0.328376	84.617875	21.611599
4	37	235.388889	54.861111	2.015416	110.298111	27.241811	82.821380	41	0.311078	84.617875	21.611599
4	39	231.046296	66.601852	2.513716	-84.908290	164.793598	-79.011447	41	0.291574	84.617875	21.611599
4	40	231.739130	58.826087	0.634676	106.796086	-168.295624	87.447379	41	0.288100	84.617875	21.611599
4	42	230.600000	62.600000	0.828204	128.686566	21.890480	66.501259	41	0.277280	84.617875	21.611599
4	44	227.384615	66.615385	2.521264	-75.424051	155.889383	-88.247288	41	0.264309	84.617875	21.611599
