ObjectID,ImageNumber,TrackObjects_TrajectoryX_15,TrackObjects_TrajectoryY_15
0,1.0,0.0,0.0
1,2.0,0.509279439499494,0.2313023616692931
2,3.0,-1.2113286552897762,0.2557654200837689
3,4.0,0.0,0.0
4,5.0,-10.763715830280773,-16.981144602149286
5,5.0,10.081682399555802,17.77555614115993
6,6.0,-0.9200488614195024,-1.5293952487739093
7,6.0,1.6178400963310082,3.0158830100538268
8,7.0,0.0,0.0
9,7.0,0.0,0.0
10,8.0,-6.657679096089794,-4.240360459842641
11,8.0,3.063579861833148,8.837568448048799
12,9.0,-2.9458533693996856,-1.8234339319456156
13,9.0,0.9276719576719188,2.2838095238095235
14,10.0,0.0,0.0
15,10.0,0.0,0.0
16,11.0,-6.789732918635934,-2.646767463225117
17,11.0,0.4030337078651769,4.796803995006243
18,12.0,-3.336836131658231,-0.9659504520371024
19,12.0,-0.990374228979249,2.1446036120617435
20,13.0,0.0,0.0
21,13.0,0.0,0.0
22,14.0,-8.32365510306687,-3.034313725490197
23,15.0,-4.741352013239833,-1.1848961571943804
24,16.0,0.0,0.0
25,17.0,-10.183778804020447,-0.6761784402423601
26,18.0,-5.610925187664179,-0.22045706057252445
27,19.0,0.0,0.0
28,20.0,-11.962894745944451,0.2443620075403814
29,21.0,-7.370431429529447,0.30789650162065385
30,1.0,0.0,0.0
31,2.0,-3.0688686781383008,-2.6335055394044176
32,3.0,-2.933095702331684,-0.2893309773336554
33,4.0,0.0,0.0
34,5.0,-5.481787380464766,0.7430711348139738
35,6.0,-2.8884475609188485,-0.844676144570151
36,7.0,0.0,0.0
37,8.0,-8.291039809398114,-0.5042994485520254
38,9.0,-4.4929646092217,0.895770061176485
39,10.0,0.0,0.0
40,11.0,-6.091354452402243,1.5975964575053396
41,12.0,-2.767567666742877,0.6283953335422154
42,13.0,0.0,0.0
43,14.0,-5.727569461844382,1.5384948413895572
44,15.0,-1.0428798957503886,0.588328024324916
45,16.0,0.0,0.0
46,17.0,-3.8624060150375494,1.5290973994619534
47,1.0,0.0,0.0
48,2.0,1.5301220402243132,-0.07201697415382569
49,3.0,-9.888514898571628,-15.676250111604915
50,3.0,9.654493158943609,13.056458020494318
51,4.0,0.0,0.0
52,4.0,0.0,0.0
53,5.0,-0.7567749410310115,-3.5143551856354662
54,5.0,2.9054755824301424,4.467667409711382
55,6.0,-1.854193975304156,-3.679051212692919
56,6.0,3.1630055538945783,4.447285867245569
57,7.0,0.0,0.0
58,7.0,0.0,0.0
59,8.0,-5.527456828725676,-7.431182004395135
60,8.0,2.725026854863529,5.013998332369312
61,9.0,-1.9348445858323944,-1.1540748095315294
62,9.0,2.3544244179809084,1.7866323355863043
63,10.0,0.0,0.0
64,10.0,0.0,0.0
65,11.0,-5.05184290551469,-2.938104686522742
66,11.0,1.7640422322775182,3.3236802413273097
67,12.0,-2.9057429452170283,-0.6401688984923978
68,12.0,-1.570457516339843,0.5738562091503212
69,13.0,0.0,0.0
70,13.0,0.0,0.0
71,14.0,-9.50598437004038,-3.2194460558431786
72,14.0,-5.392156862745111,0.21960784313725407
73,15.0,-6.894647337608035,-0.9251742403122378
74,15.0,-6.424873123482996,0.7344959559299012
75,16.0,0.0,0.0
76,16.0,0.0,0.0
77,17.0,-14.559692275486713,0.3792861628637212
78,17.0,-12.07812283405224,1.766293647001831
79,18.0,-7.80587344892099,0.6918962122193122
80,18.0,-6.993594750820193,1.168067489454771
81,19.0,0.0,0.0
82,19.0,0.0,0.0
83,20.0,-17.99881983179498,0.7344233325465552
84,20.0,-16.160439235405022,1.07748733685807
85,21.0,-11.588420825553627,0.5729398353058457
86,21.0,-11.491142182642418,-0.21440258400546952
87,1.0,0.0,0.0
88,2.0,-2.0310476260638666,-11.609895844296176
89,2.0,6.67239076028136,18.016204173430733
90,3.0,-0.4450963280212932,-1.2418431030310157
91,3.0,1.1464012632978893,3.268130817819156
92,4.0,0.0,0.0
93,4.0,0.0,0.0
94,5.0,-1.7406961248597668,-5.115949285128096
95,5.0,4.964257621395518,4.247019549910789
96,6.0,0.1915620539921292,-1.4146594357770257
97,6.0,2.220942432130471,2.702741813218694
98,7.0,0.0,0.0
99,7.0,0.0,0.0
100,8.0,0.2297432751497013,-3.7060649354241946
101,8.0,2.632409666690819,3.7388702330238455
102,9.0,-1.0223088649155443,-2.743039472912756
103,9.0,0.05250033114049302,0.76175725197578
104,10.0,0.0,0.0
105,10.0,0.0,0.0
106,11.0,-1.6320237778958813,-3.812930683780564
107,12.0,-1.1812305324489216,-1.7831922508458715
108,13.0,0.0,0.0
109,14.0,-3.472906403940897,-2.5120656814449944
110,15.0,-2.728067226890744,-1.0170756302520942
111,16.0,0.0,0.0
112,17.0,-5.132647058823579,-0.854971988795512
113,18.0,-2.648841059602603,-0.2472485020498425
114,19.0,0.0,0.0
115,20.0,-7.262665876084611,-0.35062425360982274
116,21.0,-5.175421998322918,-0.32493966880252856
117,3.0,0.0,0.0
118,4.0,0.0,0.0
119,8.0,0.0,0.0
120,9.0,0.8916985022133302,-0.4300664487570032
121,10.0,0.0,0.0
122,11.0,-0.6158384137635265,-1.4668081633254533
123,12.0,-1.1597258478777803,-0.9067273090413438
124,13.0,0.0,0.0
125,14.0,-3.6703460081236017,0.17072783817783946
126,15.0,-3.8320343250883866,0.30784222822182983
127,16.0,0.0,0.0
128,17.0,-8.611903768599632,-0.010832985676529459
129,18.0,-4.602657330101465,0.051306221384322725
130,19.0,0.0,0.0
131,20.0,-14.185060918780609,0.07366173554979126
