LINK_ID,ObjectID
0,0
0,1
0,2
0,3
0,4
0,6
0,8
0,10
0,12
0,14
0,16
0,18
0,20
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
1,3
1,5
1,7
1,9
1,11
1,13
1,15
1,17
1,19
1,21
2,30
2,31
2,32
2,33
2,34
2,35
2,36
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
4,47
4,48
4,49
4,51
4,53
4,55
4,57
5,48
5,50
5,52
5,54
5,56
5,58
5,60
5,62
5,64
5,66
5,68
5,70
6,57
6,59
6,61
6,63
6,65
6,67
6,69
6,71
6,73
6,75
6,77
6,79
6,81
6,83
6,85
7,70
7,72
7,74
7,76
8,76
8,78
9,78
9,80
9,82
9,84
10,84
10,86
11,87
11,88
12,87
12,89
13,88
13,90
13,92
13,94
13,96
13,98
13,100
13,102
13,104
13,106
13,107
13,108
14,89
14,91
14,93
14,95
14,97
14,99
15,99
15,101
15,103
15,105
16,108
16,109
16,110
16,111
17,111
17,112
18,112
18,113
18,114
18,115
19,115
19,116
20,117
20,118
21,119
21,120
21,121
21,122
21,123
21,124
22,124
22,125
22,126
22,127
23,127
23,128
24,128
24,129
24,130
24,131
25,131
25,132
26,133
27,134
28,135
