track_id_cmso,link_id_cmso
0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,7
2,8
2,9
2,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
4,35
4,36
5,37
5,38
6,39
7,40
8,41
8,42
8,43
8,44
8,45
9,46
10,47
