cmso_object_id,cmso_frame_id,cmso_x_coord,cmso_y_coord
0,1.0,0.0,0.0
1,2.0,0.0,2.25
2,3.0,0.0,4.0
3,4.0,0.0,3.0
4,5.0,-1.0,4.0
5,6.0,-3.0,2.0
6,7.0,0.0,1.0
7,8.0,-2.0,1.0
8,9.0,-1.0,1.0
9,10.0,-3.75,3.0
10,10.0,4.0,3.0
11,11.0,-4.25,3.0
12,11.0,1.0,4.0
13,12.0,0.0,1.0
14,12.0,1.0,5.0
15,13.0,-3.0,4.0
16,13.0,0.0,3.0
17,14.0,-4.0,2.0
18,14.0,-1.0,1.0
19,15.0,-2.0,3.0
20,15.0,0.0,3.0
21,16.0,-3.0,3.0
22,16.0,3.0,6.0
23,17.0,-4.0,4.0
24,17.0,-2.0,4.0
25,18.0,-5.0,1.0
26,18.0,1.0,4.0
27,19.0,-4.0,3.0
28,19.0,-3.0,3.0
29,20.0,-1.0,4.0
30,21.0,-1.0,5.0
31,22.0,0.0,6.0
32,23.0,0.0,4.0
33,24.0,1.0,1.0
34,25.0,-1.0,2.0
35,26.0,0.0,-1.0
36,27.0,-3.625,4.0
37,28.0,-3.375,4.0
38,29.0,0.0,5.0
39,30.0,-1.0,1.0
40,31.0,1.0,5.0
41,32.0,0.0,0.0
42,33.0,-1.0,2.0
43,34.0,0.0,2.0
44,35.0,1.0,2.0
45,36.0,0.0,1.0
46,37.0,0.0,2.0
47,38.0,-1.0,1.0
48,39.0,1.0,3.0
49,40.0,-1.0,4.0
50,41.0,0.0,2.0
51,42.0,1.0,4.0
52,1.0,0.0,0.0
53,2.0,-1.0,1.0
54,3.0,1.0,-1.0
55,4.0,0.0,1.0
56,1.0,0.0,0.0
57,2.0,-0.314285714,0.342857143
58,3.0,0.314285714,-0.342857143
59,4.0,0.0,0.0
60,5.0,0.0,-0.09375
61,6.0,-0.314285714,0.436607143
62,7.0,0.0,0.0
63,8.0,0.314285714,-0.342857143
64,9.0,0.0,0.0
65,1.0,0.0,0.0
66,2.0,1.162790698,-0.051495017000000004
67,3.0,-1.162790698,0.051495017000000004
68,4.0,0.0,0.0
69,5.0,0.0,-0.107902736
70,6.0,1.162790698,0.056407719
71,7.0,0.0,0.0
72,8.0,-1.162790698,0.051495017000000004
73,9.0,0.0,0.0
74,10.0,0.0,-2.714285714
75,11.0,0.0,0.0
76,12.0,0.0,-2.5
77,12.0,0.0,2.714285714
78,13.0,0.0,0.0
79,13.0,0.0,0.0
80,14.0,-0.314285714,0.342857143
81,14.0,1.195121951,0.054006969
82,15.0,0.314285714,-0.342857143
83,15.0,-1.195121951,-0.054006969
84,16.0,0.0,0.0
85,16.0,0.0,0.0
86,17.0,-0.076923077,0.564102564
87,17.0,1.048780488,1.078397213
88,18.0,-0.237362637,-0.22124542100000003
89,18.0,0.146341463,-1.0243902440000001
90,19.0,0.314285714,-0.342857143
91,19.0,-1.195121951,-0.054006969
92,20.0,0.0,0.0
93,20.0,0.0,0.0
94,21.0,0.0,0.0
95,21.0,0.0,0.0
96,22.0,-0.076923077,0.564102564
97,22.0,1.048780488,1.078397213
98,23.0,0.076923077,-0.564102564
99,23.0,-1.048780488,-1.078397213
100,24.0,0.0,0.0
101,24.0,0.0,0.0
102,25.0,0.0,0.0
103,25.0,0.0,0.0
104,26.0,0.0,0.0
105,26.0,0.0,0.0
106,27.0,0.0,0.0
107,27.0,0.0,0.0
108,28.0,0.0,0.0
109,28.0,0.0,0.0
110,29.0,-0.314285714,0.342857143
111,29.0,1.195121951,0.054006969
112,30.0,0.314285714,-0.342857143
113,30.0,-1.195121951,-0.054006969
